from_state,action,to_state,requires_approval,requires_checklist,last_stop_only,not_last_stop
Waiting,LEAVING_WAREHOUSE,EnRoute,false,false,false,false
EnRoute,ARRIVED,Arrived,false,false,false,false
Arrived,START_DELIVERY,DeliveryInProgress,false,false,false,false
DeliveryInProgress,HEADING_NEXT,Completed,false,true,false,true
DeliveryInProgress,COMPLETE_AND_RETURN,Completed,false,true,true,false
HeadingBack,ARRIVED_WAREHOUSE,Returned,false,false,false,false
Waiting,REPORT_EXCEPTION,Exception,false,false,false,false
EnRoute,REPORT_EXCEPTION,Exception,false,false,false,false
Arrived,REPORT_EXCEPTION,Exception,false,false,false,false
DeliveryInProgress,REPORT_EXCEPTION,Exception,false,false,false,false
Exception,RESOLVE_CONTINUE,DeliveryInProgress,false,false,false,false
Exception,RETURN_ITEM,HeadingBack,false,false,false,false
Completed,REOPEN,EnRoute,true,false,false,false
